2109	1421
1782	306
1862	0
1772	109
2476	524
1370	1224
1627	59
1472	512
1412	704
910	306
2376	783
525	347
1042	901
1986	1149
391	68
1065	864
1785	963
1443	761
1933	251
1580	95
2476	1721
2003	1986
2445	580
1740	915
1765	823
2037	2034
2561	2560
1368	702
904	647
423	315
2081	1705
2652	357
1401	89
2182	525
2202	734
1325	298
1634	1050
2270	20
1914	41
2034	1654
2419	497
1786	1564
2642	16
551	231
1622	1270
2391	2390
2207	1200
1952	622
1894	229
2369	2367
1850	1013
1542	1301
2357	39
498	88
2237	2236
2024	651
1252	867
1666	48
675	94
1016	595
2383	893
1984	438
1195	270
1730	1358
2124	1608
659	354
2460	1599
2182	1838
771	65
2647	1686
2509	1987
1799	1465
885	651
1174	88
2010	118
1257	688
231	179
406	134
2376	1428
2130	2034
2229	809
1090	15
2102	1309
1914	175
911	893
1358	758
1848	1652
2414	2413
609	59
2590	1469
1902	1360
2295	1110
2250	348
1692	503
2143	303
1786	18
1094	89
2292	2231
1602	315
2248	1255
866	40
1358	919
2080	1770
2285	2284
2071	2016
1033	687
1041	609
1386	727
1655	11
2597	1358
1201	457
1548	790
2280	270
109	102
1617	748
1505	530
1725	1712
2280	838
2340	1558
2227	1630
1765	1719
1810	1787
2464	515
2304	733
2274	1441
2515	2514
910	139
306	302
1956	1955
1358	951
2319	695
1940	1300
2261	718
1380	1050
1681	459
2117	386
124	109
1998	1197
1692	574
1839	1655
2394	1399
1623	102
1579	1182
2534	1159
849	577
2492	301
2094	109
1618	1425
1553	371
2122	665
914	875
2541	1591
2458	2457
1847	1013
1488	792
1703	1365
1739	1709
472	448
1722	312
1262	189
2380	91
1145	748
2395	724
1729	1013
1824	1267
1986	1875
350	302
2269	370
1217	230
823	481
1358	1123
1240	706
2367	765
1250	1173
1281	977
2261	1474
570	201
2503	616
1929	1671
1736	155
1701	1636
1121	835
1701	1241
1971	1703
2021	239
2162	738
1816	1810
1360	904
1535	95
1624	1505
887	239
2610	1049
542	306
1907	674
2426	2425
1879	578
2268	1160
236	126
1810	1348
1804	1546
2383	2382
2183	525
2570	1386
1792	581
2538	2518
1394	211
985	848
2212	710
1157	89
2042	2039
2421	757
2025	1583
2030	903
1765	1750
2133	2054
2590	1185
2274	1527
2368	2367
905	389
2059	146
2155	2153
1810	790
1875	1701
1999	1986
2667	45
2154	1224
2148	1101
2673	1257
1570	571
1807	482
1881	1543
2525	154
1195	1058
1354	400
1891	1889
1538	118
1542	1413
1542	1477
2045	1830
2176	1256
1714	1154
2000	314
1611	1462
2291	1682
2215	51
1093	599
1542	776
2238	706
2678	492
2553	728
1801	1072
756	172
696	571
1779	1623
660	139
2623	946
2324	1776
1452	1015
1789	109
1928	1927
710	51
1762	758
1848	1224
1369	1094
2405	1842
2336	1202
1909	1848
1940	1542
1773	638
2009	160
1999	827
826	490
1300	877
2522	657
1783	1623
685	554
1358	59
1276	458
2671	1688
1384	1358
2181	525
716	603
2067	1098
1169	748
2309	1043
1616	56
2055	1588
1936	1413
963	375
1115	1097
2324	1283
2351	1064
2098	2097
1358	609
1568	1358
1486	650
1783	1767
1398	565
613	341
1244	493
806	403
1810	1576
1344	815
1551	126
2594	218
2451	2391
2299	2297
2014	415
2200	2199
1803	354
1584	306
1967	275
1203	382
1983	897
1159	981
2440	657
2016	2010
1284	757
2638	447
1546	687
2365	1565
1473	165
2046	484
1681	1012
1441	648
1843	415
1753	1339
1623	980
2333	1588
1761	4
1264	443
2378	2001
1483	1249
1419	529
1452	1417
1309	415
1245	1144
1914	779
1542	1176
818	415
1996	327
2034	1497
1406	922
1528	1398
2387	299
1869	420
2232	1376
1416	149
1517	74
2241	2207
1006	734
2270	1414
519	306
1845	894
2657	1642
863	429
2501	1092
1933	1300
1664	785
1287	481
2280	1131
2155	586
352	310
1097	854
1536	1228
2580	1228
2498	1484
1821	316
1317	1292
2204	1951
2156	324
1116	568
1809	1806
1450	321
2228	1501
2349	1692
1754	154
2031	903
1367	980
2474	217
1743	1483
817	220
1158	306
1677	415
2265	984
1623	556
1358	1305
409	407
1288	88
1965	39
2396	2394
1068	1015
1754	1752
507	251
525	456
323	55
2206	1952
1063	577
2229	601
2291	715
2096	859
1616	412
1806	453
1655	1410
1115	470
2505	406
1782	1623
1528	1361
2269	392
1204	751
2097	975
596	496
1543	739
1556	888
1894	1049
1358	154
999	346
1623	459
1753	1358
1076	116
2671	1533
2198	1042
1728	961
1499	337
1693	965
1306	364
1414	371
2265	1324
1982	436
1727	1358
392	128
1855	1701
1506	1146
725	440
289	109
162	88
2129	2128
2096	1784
1964	463
2186	1692
1760	1103
454	118
623	140
584	340
1687	1003
87	42
306	138
1444	1358
543	65
2556	1249
1701	261
343	311
817	155
1994	169
1898	645
1848	325
1950	1944
1898	1713
1168	1022
2585	1706
2320	1681
426	306
1050	194
2107	1781
2236	1969
2616	1737
1842	120
1198	1042
973	880
1826	1408
1585	1401
1062	962
1758	1358
1867	1701
1681	948
2446	1716
1626	210
1313	1311
2119	33
2027	2025
2080	1367
720	371
1734	1725
744	580
1154	957
771	55
1093	1090
2181	2074
690	311
2018	356
1570	743
564	189
2001	503
1968	1671
2052	74
1995	553
1169	524
950	437
1986	391
1852	1701
1927	1923
2447	609
1583	1127
1972	1351
2304	465
968	598
1973	32
1635	763
1229	657
2034	417
2100	830
2685	296
549	511
2085	910
473	194
1701	343
1715	1154
1750	1601
2116	1218
1156	65
1083	321
1072	244
2247	281
577	230
2256	1878
1752	1358
1565	1358
1912	1338
2578	27
2244	2243
1257	1071
1701	158
2120	442
1358	1292
1769	399
791	180
2312	61
1789	1015
1771	1623
1868	231
1879	661
2500	1567
1176	877
1358	754
473	243
643	573
2367	894
1358	1339
1991	1986
1358	244
596	175
2121	33
1778	350
2137	1394
2359	480
1834	449
1875	598
1405	229
665	397
1415	1414
2349	1469
2045	1784
1579	559
1572	236
2218	1411
2405	816
698	442
2092	109
655	487
2294	2155
844	264
2358	1469
1718	1103
1616	581
2019	2018
1865	311
1224	778
1309	490
2351	577
1758	580
1701	532
970	16
2248	1461
2302	1692
2467	2017
1542	990
2471	48
1403	1013
1441	454
1810	13
1643	348
1587	1224
2268	309
1103	72
1516	1358
1723	768
1972	1402
507	40
1113	107
1930	1131
1952	942
1752	154
1984	1178
2094	441
906	577
2296	2230
973	306
908	772
2033	740
2553	1911
990	310
2359	1175
1416	718
2474	243
1798	1072
1742	580
1483	389
1635	1628
808	638
1086	669
2083	1685
2113	1077
1224	1131
1624	317
1735	1412
1882	514
1735	1358
139	18
1483	1358
2412	469
2550	1812
797	73
2062	701
1466	1041
1986	1166
854	344
2319	1681
1416	572
415	88
559	472
1824	1183
1457	1456
608	103
2069	1377
2401	963
1976	147
1651	306
1732	1566
1196	1061
1900	645
998	976
1986	745
2375	371
2046	306
1314	1269
1829	1826
2034	1665
2501	1321
2406	2043
1146	36
2247	1086
2117	1846
2464	1102
1922	1416
1901	645
2291	1265
1894	770
2172	1467
487	426
1358	111
2323	344
1998	519
1173	202
2278	850
1257	492
2122	627
737	415
1772	487
158	14
1367	124
1986	1558
1833	797
2446	1749
885	756
2447	2446
1821	716
2182	95
1542	877
1869	1810
1612	764
1966	1703
2394	1420
1553	1408
2388	945
2270	1354
924	808
2271	1441
2171	2170
1258	452
1722	289
1080	771
2185	1133
2175	1761
483	436
1986	1859
2213	710
1366	1194
2217	96
1628	1139
1185	278
2282	1131
2230	938
1604	1358
2046	236
1402	1163
1624	1196
2476	564
2198	751
1942	875
1366	368
1628	142
2525	2220
2394	724
2219	475
2141	1636
2597	1389
2105	517
2356	2211
893	638
2250	1260
1876	1701
2291	377
1483	1077
1432	1049
1501	1487
2313	873
626	372
747	282
2570	1151
2100	803
2291	2233
1874	1106
671	451
886	622
1881	739
2597	1734
1902	1829
1621	1192
1525	1224
2353	1129
1739	1317
1759	493
2017	130
836	708
1913	895
2227	266
2099	490
2197	95
441	193
1416	1008
2673	2671
2464	444
2324	1735
834	131
2514	1154
1269	890
1574	519
1606	819
775	171
1681	695
2674	2671
2576	1680
1997	1347
2041	2034
1986	160
2608	1674
1241	310
493	391
1682	695
1687	246
1954	590
2184	70
2530	871
1387	1190
540	67
1946	1944
2458	499
2434	375
805	706
1776	1499
1623	384
1333	749
1623	1251
745	366
2145	18
1421	1085
2472	456
1791	1609
2181	142
1094	258
2097	522
883	609
1273	1119
1999	285
2466	2279
1802	306
1928	1344
1045	661
1912	1296
1737	1209
1962	1022
1736	817
1685	650
2335	2259
2641	936
2247	972
2702	186
965	964
2082	18
2301	733
2675	2674
1715	1358
1599	1199
2228	2227
2233	636
2155	993
1844	1013
1659	5
1480	1103
2003	2001
1097	470
1623	660
2116	356
2413	1725
1784	1623
2096	1856
2334	174
2274	1370
1383	806
2377	372
963	706
1337	109
2045	699
1919	1370
1483	704
933	534
2034	1448
1256	1016
1775	103
2013	471
2643	111
904	541
696	277
1810	1062
2037	180
873	261
1512	945
1240	789
1072	973
1701	231
1159	729
1837	183
1957	1954
992	596
1780	1624
2034	141
733	94
2162	61
2446	1712
1692	291
1628	65
1358	873
2446	1427
1107	598
2199	1580
1440	869
487	306
1804	1072
732	263
1986	1453
820	800
1358	978
2564	1050
2554	1136
2653	865
1908	1178
1169	439
236	153
2535	1186
2628	67
1542	1340
2095	135
1955	1179
1840	1377
2372	2359
997	183
2045	109
1677	88
2415	2413
1986	1127
1073	316
1394	88
1627	1308
1560	18
2045	139
1952	1654
449	73
1716	1199
2434	2399
2481	840
1464	1359
2178	1309
1957	979
1336	1012
734	408
1072	1070
1574	1066
1195	279
1143	1015
1808	962
2080	1245
2259	1419
2671	428
1584	1367
2450	1077
2045	603
2700	1151
988	868
1960	1903
1443	963
2189	1395
2344	1080
2647	243
2295	897
629	174
2503	1216
2347	1692
553	160
739	701
1701	467
2163	2162
1955	1168
2277	2074
863	794
1345	202
2148	2146
1810	549
732	364
698	33
2515	1154
1692	172
963	29
567	290
1602	1416
1742	526
1787	1624
2151	93
1501	1074
1701	547
2203	1279
2503	2444
2415	915
1798	487
1966	1234
2463	1157
1013	908
654	1
1384	1229
751	736
2331	2329
1534	911
895	440
2359	290
790	482
2099	1526
1158	121
1810	1808
596	41
1816	829
323	162
1479	261
1580	456
1214	1199
2457	1917
2088	306
2189	454
1823	1810
801	703
2175	4
2308	159
1569	1050
834	683
2434	1087
2267	1395
744	223
1358	346
2347	456
1879	490
2277	734
2305	1278
1725	1358
1094	963
2260	1419
1925	1416
2425	2099
2577	1663
1958	735
1376	239
1804	1740
2376	1143
756	240
1934	338
1692	1423
904	132
817	156
2165	1343
321	269
1519	147
2592	793
758	111
1463	276
2181	1388
2011	88
1655	149
1510	1046
2451	1801
2045	153
2097	79
1358	1189
2008	733
1269	753
2082	133
2518	1135
2397	2394
1745	1486
1881	735
1219	45
1720	1358
1907	673
1887	1103
582	444
1358	1041
1055	899
436	424
1526	868
1701	869
1761	1256
269	8
1215	270
1907	897
2085	350
2439	867
1750	1739
1986	68
1030	859
1467	52
1035	73
1743	969
1705	306
737	88
845	598
2107	1505
1950	1272
306	236
1313	1312
2685	732
2189	847
1692	1469
1810	719
1003	363
1755	1731
816	120
1986	1876
1675	1074
1313	573
1972	1652
2305	1818
2018	76
1765	1520
1229	867
2144	137
1789	1618
1299	598
711	252
2117	1894
1720	1169
2129	1111
1913	35
2683	2681
1255	198
2256	102
2332	1125
1282	741
2394	471
2155	749
1739	616
2156	1224
1642	439
1785	1624
1916	1914
2013	88
2392	535
2135	175
2045	2026
2404	1912
2560	1717
1558	1191
2194	1120
2052	1926
973	935
1731	1711
2365	970
1069	239
1417	529
1623	314
1624	589
1441	540
1462	1119
2386	1082
1251	306
2134	1351
1823	598
1776	138
1269	1227
1007	526
2054	525
577	394
816	436
1521	1013
2170	1357
2538	381
1754	326
1789	426
1939	1542
1507	1343
1947	1272
1577	1054
619	239
723	9
2364	667
1840	1013
2363	125
1896	541
553	277
2509	2114
1725	1427
1711	1629
554	118
2030	118
2314	767
2096	2026
676	410
1995	745
850	712
2187	172
1701	767
2476	1169
1101	374
1089	1088
1067	59
2022	323
1773	1045
629	534
1538	1131
719	302
1218	1079
1256	595
1986	460
2015	1309
1958	1954
2367	2177
619	65
846	374
2075	14
1374	748
1444	1307
2335	2001
2386	299
729	669
350	306
2364	2266
1651	1248
1742	403
1555	1470
878	436
2230	606
1902	1478
1534	1429
2316	1343
1624	109
1367	306
844	472
2448	1067
2441	1229
2165	118
1474	593
1428	1202
2221	1148
1872	1701
1763	1736
2359	1171
2195	594
2489	1608
1986	566
1931	1542
807	661
1351	907
984	543
1358	626
637	598
1147	765
1666	49
1743	1358
2361	606
1919	778
2216	708
1358	1072
1701	1023
1703	1234
1552	36
498	356
1821	598
277	160
1345	353
1903	1902
2034	841
1711	1358
308	306
1517	1042
1701	563
2246	1595
1039	827
1549	119
1884	249
2045	1772
2309	210
2358	2349
2241	1957
1762	853
1750	1358
2350	1178
1740	268
1636	24
2407	573
2518	996
663	594
236	109
1899	388
1620	742
2351	394
1762	1358
1763	817
2485	252
1138	82
2352	1064
842	118
1833	1035
2367	1598
1748	1358
2538	1257
1757	1358
2289	444
2002	1986
1810	1299
1118	74
805	275
996	368
1358	902
2132	1683
2267	2266
1392	51
861	95
1434	445
1479	873
1790	103
1842	1655
1045	306
1312	1311
1482	1402
1180	937
1528	513
1737	1358
846	273
1358	823
1701	1665
2533	1201
1464	262
1096	1065
1715	58
2383	924
1136	73
2191	387
1901	1549
1885	1884
1051	442
426	109
2387	1406
2615	332
1610	565
961	799
2651	59
1576	1331
1358	796
550	93
2127	546
1744	1358
2027	938
1781	1623
2457	499
2155	1131
2240	1530
1652	604
297	185
1775	484
2434	963
2023	1512
2187	756
2385	2103
1042	485
604	69
2328	2327
2093	741
1670	1346
2349	1498
1622	124
1518	1129
1810	576
1316	17
2264	1104
1959	119
1800	852
1756	732
1692	756
2133	1695
1971	1966
2436	1507
2406	523
441	440
1810	1095
1542	1177
2130	912
1221	729
1963	1962
2025	1120
1568	154
2553	1368
2048	2046
841	88
1804	306
1824	1470
1867	1846
656	350
1078	591
1668	1527
1313	468
2120	665
2503	403
1674	891
2275	1128
364	154
1779	109
1385	1015
2443	615
1271	15
2679	177
1358	34
1794	798
2681	1390
381	148
1701	1337
2214	51
1358	1145
2379	2002
2354	577
2127	2124
2096	1009
2241	1191
1295	1171
1304	505
2062	735
2405	120
1730	1711
2130	430
2054	1602
1480	1358
2199	731
1167	1070
2077	14
607	298
1828	238
2065	918
1534	1082
2034	1929
838	279
1389	1358
1505	1072
960	784
833	178
1869	277
